price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
1.0526549948410189,-1.5715130137656854,2.410565141659012,4,1,0,2,12,14,2,-0.14706146956996033,0.8571428571428571,0
-0.42556023953720507,-1.469032520894759,0.1606930550385227,2,1,0,2,5,12,2,-0.14706146956996033,0.4166666666666667,1
-0.40498374685376654,-1.417792274459296,0.1606930550385227,2,1,0,1,5,12,2,-0.14706146956996033,0.4166666666666667,1
-0.42556023953720507,-1.469032520894759,0.1606930550385227,2,1,0,2,5,12,2,-0.14706146956996033,0.4166666666666667,1
-0.4804308866930411,1.292816761976708,-0.8327569572354596,1,2,3,2,1,12,6,0.06559782145564146,0.08333333333333333,0
0.6718527035795164,1.2774446880460688,0.1314739370304644,2,3,1,2,10,12,5,-0.040731824057159444,0.8333333333333334,0
2.400278088988353,2.1946450992408604,1.1249239493044467,3,3,0,2,3,3,5,0.023065963250521092,1.0,0
2.3725684121746555,-0.7516690707982742,3.1994813278765863,4,1,0,1,9,14,2,-0.0832636822622798,0.6428571428571429,0
-0.12377168018010665,1.313312860550893,-0.5405657771548766,1,1,0,1,7,9,5,-0.06199775315971962,0.7777777777777778,0
-0.41184257774824606,0.8777707658494559,-0.6866613671951681,2,0,2,2,8,10,5,-0.040731824057159444,0.8,0
-0.34325426880345095,1.7283588566781452,-0.8035378392274013,1,1,0,1,8,12,5,-0.10452961136483997,0.6666666666666666,0
-0.8508077549949347,1.8257153249055251,-1.2126054913402176,1,1,2,0,4,4,6,-0.10452961136483997,1.0,0
-0.41184257774824606,0.8777707658494559,-0.6866613671951681,2,0,2,2,8,10,6,-0.040731824057159444,0.8,0
0.01340493770948354,0.4934689175834818,-0.18993636105817696,3,1,0,1,4,12,5,-0.0832636822622798,0.3333333333333333,1
1.5662442522196445,-1.1103507958465166,2.585879849707362,4,1,4,2,4,16,2,-0.10452961136483997,0.25,1
1.4351034055171963,-1.212831288717443,2.5274416136912454,4,1,0,1,7,14,2,-0.10452961136483997,0.5,1
0.3217779747252823,-1.1103507958465166,0.9496092412560969,3,1,0,2,3,16,2,-0.10452961136483997,0.1875,1
0.15058155559907374,-0.32637502538392954,0.2775695270707559,3,2,2,0,1,9,5,-0.06199775315971962,0.1111111111111111,0
1.083382557248287,1.1134758994525866,0.5405415891432807,3,3,1,1,13,13,5,-0.0832636822622798,1.0,0
1.083382557248287,1.1134758994525866,0.5405415891432807,3,3,1,1,13,13,5,-0.0832636822622798,1.0,0
-0.19235998912490174,-0.2495146557307347,-0.13149812504206035,2,1,1,1,3,9,5,-0.06199775315971962,0.3333333333333333,1
-0.5901721810047132,0.18090341432715623,-0.6866613671951681,1,1,0,1,7,9,5,-0.12579554046740016,0.7777777777777778,0
0.01340493770948354,-0.8080333418772837,0.3652268810949308,2,1,0,2,4,5,6,-0.10452961136483997,0.8,0
-0.19235998912490174,-0.2495146557307347,-0.13149812504206035,2,1,1,1,3,8,5,-0.019465894954599265,0.375,1
-0.9331137257286888,0.7189260018995199,-1.1249481373160426,1,0,3,0,4,9,6,-0.040731824057159444,0.4444444444444444,1
0.5346760856899263,-0.35199514860166115,0.7158562971916305,3,2,3,1,10,12,5,-0.06199775315971962,0.8333333333333334,0
0.4798054385340902,-0.6030723561354309,0.8035136512158053,3,2,2,0,1,9,5,-0.06199775315971962,0.1111111111111111,0
-0.2609482980696968,1.7591030045394231,-0.7450996032112848,1,3,3,1,6,9,5,-0.10452961136483997,0.6666666666666666,0
0.01340493770948354,0.4934689175834818,-0.18993636105817696,3,1,0,1,4,12,5,-0.0832636822622798,0.3333333333333333,1
-0.8151418343436412,-0.38786332110648536,-0.774318721219343,1,1,0,0,8,9,6,-0.10452961136483997,0.8888888888888888,0
0.9599236011476558,1.1442200473138646,0.42366511711104743,3,1,0,1,6,8,2,-0.10452961136483997,0.75,0
-0.6999134753163855,0.3397481782770922,-0.8327569572354596,2,1,2,0,4,4,6,-0.10452961136483997,1.0,0
-0.6999134753163855,0.3397481782770922,-0.8327569572354596,2,1,2,0,4,4,6,-0.10452961136483997,1.0,0
-0.9193960639397297,1.4004212794911806,-1.2126054913402176,1,3,2,2,4,4,5,-0.040731824057159444,1.0,0
-1.015419696462443,-0.8746456622433858,-0.8911951932515763,1,2,2,1,14,14,5,-0.14706146956996033,1.0,0
-0.6999134753163855,0.3397481782770922,-0.8327569572354596,2,1,2,0,4,4,5,-0.10452961136483997,1.0,0
0.06827558486531962,-0.941257982609488,0.5113224711352223,3,1,0,1,7,12,2,-0.12579554046740016,0.5833333333333334,0
-0.398124915959287,-1.243575436578721,0.07303570101434777,2,1,0,1,8,9,5,-0.12579554046740016,0.8888888888888888,0
-0.6176075045826314,0.43198062186092595,-0.774318721219343,1,2,1,1,12,12,5,-0.0832636822622798,1.0,0
-0.4941485484820002,0.3243761043464532,-0.6282231311790515,2,3,1,0,1,10,4,-0.040731824057159444,0.1,0
-0.06890103302427057,0.9238869876413728,-0.3944701871145851,3,1,2,0,2,4,5,-0.10452961136483997,0.5,1
-0.5490191956378362,-0.81315736652083,-0.33603195109846845,2,1,0,1,3,15,5,-0.14706146956996033,0.2,1
-0.6999134753163855,0.3397481782770922,-0.8327569572354596,2,1,2,0,4,4,6,-0.10452961136483997,1.0,0
-0.09633635660218862,-0.2802588035920126,-0.014621653009827137,2,1,0,0,2,10,5,-0.10452961136483997,0.2,1
-0.42556023953720507,-0.7670411447289132,-0.18993636105817696,2,1,0,1,3,10,5,-0.12579554046740016,0.3,1
